Store,Dept,Date,Weekly_Sales,IsHoliday
45,1,27/07/2012,11628.65,FALSE
45,1,03/08/2012,11285.1,FALSE
45,1,10/08/2012,10985.3,FALSE
45,1,17/08/2012,11091.88,FALSE
45,1,24/08/2012,11468.84,FALSE
45,1,31/08/2012,10898.15,FALSE
45,1,07/09/2012,11797.22,TRUE
45,1,14/09/2012,12747.42,FALSE
45,1,21/09/2012,13114.39,FALSE
45,1,28/09/2012,13153.22,FALSE
45,1,05/10/2012,15309.43,FALSE
45,1,12/10/2012,16109.15,FALSE
45,1,19/10/2012,19128.81,FALSE
45,1,26/10/2012,27117.16,FALSE
